,value,percentage,datetime,type
0,40370.228,0.3806531045392598,2019-01-01T00:00:00.000+01:00,Hidráulica
1,57339.018,0.49472218632366793,2019-02-01T00:00:00.000+01:00,Hidráulica
2,26311.523,0.2703270140816708,2019-03-01T00:00:00.000+01:00,Hidráulica
3,25020.153,0.28480020039248233,2019-04-01T00:00:00.000+02:00,Hidráulica
4,22958.569,0.3630339809047246,2019-05-01T00:00:00.000+02:00,Hidráulica
5,16793.131,0.24071467030370947,2019-06-01T00:00:00.000+02:00,Hidráulica
6,20218.794,0.26020156837806935,2019-07-01T00:00:00.000+02:00,Hidráulica
7,20288.618,0.2664028507913341,2019-08-01T00:00:00.000+02:00,Hidráulica
8,15939.702,0.20828261630854628,2019-09-01T00:00:00.000+02:00,Hidráulica
9,16986.119,0.20134174140006025,2019-10-01T00:00:00.000+02:00,Hidráulica
10,56089.018,0.4370223366541106,2019-11-01T00:00:00.000+01:00,Hidráulica
11,69993.766,0.5239725975354251,2019-12-01T00:00:00.000+01:00,Hidráulica
0,30718.166,0.28964328003429496,2019-01-01T00:00:00.000+01:00,Eólica
1,27230.081,0.23494167978409694,2019-02-01T00:00:00.000+01:00,Eólica
2,33080.164,0.33986865600489863,2019-03-01T00:00:00.000+01:00,Eólica
3,26674.263,0.3036286567760707,2019-04-01T00:00:00.000+02:00,Eólica
4,30499.286,0.48227209680759,2019-05-01T00:00:00.000+02:00,Eólica
5,20466.583,0.29337035357423846,2019-06-01T00:00:00.000+02:00,Eólica
6,19376.402,0.2493605795639423,2019-07-01T00:00:00.000+02:00,Eólica
7,17051.332,0.22389516400720344,2019-08-01T00:00:00.000+02:00,Eólica
8,24578.96,0.3211710040089273,2019-09-01T00:00:00.000+02:00,Eólica
9,30217.147,0.358173223508066,2019-10-01T00:00:00.000+02:00,Eólica
10,39391.644,0.3069233322203444,2019-11-01T00:00:00.000+01:00,Eólica
11,29859.569,0.2235284200912729,2019-12-01T00:00:00.000+01:00,Eólica
0,993.825,0.00937083069282467,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica
1,2244.204,0.01936303669233263,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica
2,3155.05,0.03241527469840402,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica
3,2821.665,0.03211853890103924,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica
4,3390.224,0.0536081545360575,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica
5,3751.839,0.0537792915399516,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica
6,3531.39,0.045446489862581825,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica
7,3485.365,0.04576512663643911,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica
8,2935.885,0.038362938590760134,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica
